"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW16-0123","한식/중식/일식","전통음식","한식 일반","금강호민물장어","금강호민물장어","서울특별시","양천구","신월1동"
"BE_IW16-0124","한식/중식/일식","전통음식","한식 일반","금모래","금모래","서울특별시","강남구","역삼1동"
"BE_IW16-0125","한식/중식/일식","전통음식","한식 일반","금수복국","금수복국","서울특별시","강남구","압구정동"
"BE_IW16-0126","한식/중식/일식","전통음식","한식 일반","금천식당","금천식당","서울특별시","영등포구","양평1동"
"BE_IW16-0127","한식/중식/일식","전통음식","한식 일반","기꾸","기꾸","서울특별시","용산구","남영동"
"BE_IW16-0128","한식/중식/일식","전통음식","한식 일반","기와집","기와집","서울특별시","강북구","우이동"
"BE_IW16-0129","한식/중식/일식","전통음식","한식 일반","기와집","기와집","서울특별시","중랑구","면목제3.8동"
"BE_IW16-0130","한식/중식/일식","전통음식","한식 일반","김밥사랑","김밥사랑","서울특별시","관악구","신림동"
"BE_IW16-0131","한식/중식/일식","전통음식","한식 일반","김삼보","김삼보","서울특별시","중구","광희동"
"BE_IW16-0132","한식/중식/일식","전통음식","한식 일반","꿈꾸는돼지","꿈꾸는돼지","서울특별시","강서구","화곡3동"
